system_id,ra_deg,dec_deg,snr,z,planck_name,mcxc_cross_id,act_cross_id,spt_cross_id,source
PSZ2 PSZ2 G225.76-17.35,92.5719521,-18.9449287,5.04040,-1.000000,PSZ2 G225.76-17.35,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J0942.0+0857,145.5402977,8.9730699,5.07984,0.206000,PSZ2 G225.84+41.84,J0942.0+0857,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G225.93-19.99,90.0650947,-20.1243398,12.41751,0.460000,PSZ2 G225.93-19.99,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G226.12-19.51,90.6139990,-20.1029268,4.57147,-1.000000,PSZ2 G226.12-19.51,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G226.15+09.02,117.0195167,-7.4467213,4.65858,-1.000000,PSZ2 G226.15+09.02,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J0552.8-2103,88.2137128,-21.0650219,9.52230,0.098900,PSZ2 G226.16-21.95,J0552.8-2103,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J1155.3+2324,178.8322869,23.4095856,14.55732,0.142700,PSZ2 G226.18+76.79,J1155.3+2324,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J1008.7+1147,152.2158350,11.7897314,6.74062,0.224500,PSZ2 G226.75+48.95,J1008.7+1147,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G227.21+54.79,157.6628420,14.2432623,5.69290,0.326478,PSZ2 G227.21+54.79,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G227.30+09.00,117.5642503,-8.4398388,4.61783,-1.000000,PSZ2 G227.30+09.00,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
