anchor_id,scale,frob_hessian_raw,is_low_curv,cond_number,sigma_center,eps,g11_op,g12_op,g22_op,g11_th,g12_th,g22_th
183,1.25s0,0.010976,True,1.558902,0.814535,-1.629070,0.548585,0.085128,0.784890,-0.924451,0.212820,-0.333690
183,1.5s0,0.006520,True,1.518381,0.813279,-1.626558,0.556700,0.077447,0.785463,-0.912512,0.193618,-0.340604
185,1s0,0.021765,True,1.139265,0.658306,-1.316612,0.748988,0.004028,0.657764,-0.202582,0.010070,-0.430642
185,1.25s0,0.013024,True,1.186875,0.649322,-1.298644,0.753852,-0.027562,0.647541,-0.165754,-0.068906,-0.431533
185,1.5s0,0.007797,True,1.244886,0.642907,-1.285814,0.756253,-0.047225,0.637157,-0.136943,-0.118061,-0.434684
58,1s0,0.014185,True,1.097650,0.662207,-1.324414,0.676360,-0.015693,0.734030,-0.396501,-0.039232,-0.252327
58,1.25s0,0.009286,True,1.147286,0.655984,-1.311968,0.657881,-0.017094,0.748052,-0.424682,-0.042736,-0.199253
58,1.5s0,0.006435,True,1.177790,0.652468,-1.304935,0.645595,-0.013406,0.756910,-0.444078,-0.033515,-0.165793
60,1s0,0.010018,True,1.061320,0.812916,-1.625833,0.689710,0.012861,0.722941,-0.667372,0.032153,-0.584294
60,1.25s0,0.005054,True,1.085660,0.813677,-1.627353,0.683016,0.018138,0.728221,-0.683860,0.045344,-0.570846
60,1.5s0,0.002688,True,1.101999,0.814189,-1.628377,0.678420,0.021502,0.731640,-0.694902,0.053755,-0.561852
188,1s0,0.013163,True,1.352318,0.789538,-1.579075,0.774882,0.054824,0.600491,-0.361088,0.137059,-0.797063
188,1.25s0,0.008324,True,1.445579,0.786211,-1.572421,0.783863,0.064951,0.573433,-0.309383,0.162377,-0.835459
188,1.5s0,0.005445,True,1.550586,0.784042,-1.568085,0.790694,0.075014,0.544576,-0.260438,0.187536,-0.875731
191,1s0,0.018324,True,1.575761,0.134042,-0.268084,0.666397,0.148620,0.663421,0.735636,0.371550,0.728197
191,1.25s0,0.010397,True,1.406277,0.151101,-0.302203,0.680031,0.115216,0.685096,0.691466,0.288041,0.704129
191,1.5s0,0.005635,True,1.251412,0.162030,-0.324060,0.688542,0.077366,0.703882,0.656766,0.193414,0.695115
64,1s0,0.022880,True,1.062209,0.808175,-1.616351,0.720400,-0.015977,0.692207,-0.581110,-0.039941,-0.651592
64,1.25s0,0.017225,True,1.143360,0.800891,-1.601782,0.732496,-0.036768,0.673842,-0.528464,-0.091921,-0.675100
64,1.5s0,0.012974,True,1.174488,0.796944,-1.593888,0.734736,-0.045389,0.668163,-0.510672,-0.113473,-0.677105
192,1s0,0.021810,True,1.789876,0.265056,-0.530112,0.471068,-0.063393,0.811268,0.044638,-0.158483,0.895138
192,1.25s0,0.016395,True,1.812467,0.281604,-0.563209,0.459654,-0.044698,0.817649,-0.010703,-0.111746,0.884285
192,1.5s0,0.010816,True,1.667339,0.291372,-0.582744,0.492824,-0.024402,0.816831,0.012248,-0.061005,0.822265
194,1s0,0.007771,True,1.686816,0.809026,-1.618051,0.729931,0.147864,0.575393,-0.424878,0.369661,-0.811224
194,1.25s0,0.004418,True,1.938042,0.807272,-1.614544,0.720251,0.175150,0.529319,-0.375879,0.437876,-0.853209
194,1.5s0,0.002665,True,1.719075,0.806157,-1.612313,0.727582,0.152640,0.570553,-0.416027,0.381601,-0.808600
198,1s0,0.021356,True,1.797653,0.498392,-0.996785,0.819548,0.034622,0.461055,0.451332,0.086554,-0.444901
198,1.25s0,0.018217,True,1.572714,0.501084,-1.002168,0.809676,0.032692,0.520804,0.358923,0.081729,-0.363258
198,1.5s0,0.013843,True,1.421363,0.502990,-1.005980,0.796268,0.027896,0.565887,0.281996,0.069740,-0.293956
70,1s0,0.014651,True,1.488498,0.144793,-0.289587,0.798103,-0.046612,0.550356,1.020097,-0.116529,0.400730
70,1.25s0,0.011083,True,1.644079,0.154779,-0.309559,0.816444,-0.018751,0.498368,1.088036,-0.046876,0.292846
70,1.5s0,0.008309,True,1.803894,0.161104,-0.322208,0.822768,-0.008911,0.456443,1.135699,-0.022277,0.219886
71,1s0,0.035964,True,1.347446,0.562495,-1.124991,0.642648,-0.091130,0.733617,-0.238701,-0.227826,-0.011280
71,1.25s0,0.024032,True,1.240107,0.558301,-1.116601,0.668559,-0.069065,0.725562,-0.187855,-0.172662,-0.045348
71,1.5s0,0.016698,True,1.178418,0.555666,-1.111331,0.682173,-0.054183,0.720256,-0.158935,-0.135457,-0.063728
77,1s0,0.015365,True,1.439690,0.806745,-1.613491,0.665650,0.121659,0.692836,-0.647473,0.304147,-0.579509
77,1.25s0,0.008253,True,1.465601,0.804840,-1.609681,0.685580,0.127453,0.667627,-0.587240,0.318633,-0.632121
77,1.5s0,0.004694,True,1.486500,0.803532,-1.607063,0.694200,0.130470,0.654677,-0.557659,0.326176,-0.656467
205,1s0,0.019747,True,1.397002,0.760647,-1.521294,0.763993,0.079558,0.602940,-0.319978,0.198894,-0.722611
205,1.25s0,0.015063,True,1.592687,0.758000,-1.516000,0.793185,0.077739,0.532940,-0.190695,0.194348,-0.841306
205,1.5s0,0.010870,True,1.821630,0.756634,-1.513267,0.803238,0.083958,0.472026,-0.099253,0.209894,-0.927281
81,1s0,0.019145,True,1.614914,0.731847,-1.463694,0.717803,0.144445,0.603446,-0.320748,0.361112,-0.606641
81,1.25s0,0.013991,True,1.595101,0.727212,-1.454423,0.711641,0.143930,0.613956,-0.332317,0.359824,-0.576529
81,1.5s0,0.010038,True,1.603789,0.724554,-1.449109,0.702068,0.148111,0.621625,-0.348555,0.370276,-0.549663
211,1s0,0.022648,True,1.609364,0.793934,-1.587869,0.735171,0.135567,0.587299,-0.403028,0.338917,-0.772709
211,1.25s0,0.014434,True,1.589095,0.793112,-1.586223,0.726276,0.137263,0.600635,-0.429172,0.343158,-0.743275
211,1.5s0,0.009027,True,1.559959,0.792757,-1.585513,0.720125,0.135645,0.613121,-0.451758,0.339114,-0.719268
216,1s0,0.022271,True,1.807768,0.255258,-0.510516,0.731249,0.159172,0.547100,0.719671,0.397930,0.259297
216,1.25s0,0.013589,True,1.776700,0.257017,-0.514034,0.752815,0.142035,0.532459,0.761411,0.355088,0.210521
216,1.5s0,0.008562,True,1.640459,0.258016,-0.516032,0.761325,0.121416,0.554289,0.742762,0.303540,0.225174
89,1s0,0.018879,True,1.759546,0.829096,-1.658193,0.792972,0.097185,0.496130,-0.287140,0.242962,-1.029246
89,1.25s0,0.010252,True,1.886495,0.825137,-1.650274,0.804245,0.085341,0.456646,-0.215776,0.213352,-1.084772
89,1.5s0,0.005761,True,1.838609,0.822443,-1.644885,0.810844,0.067942,0.460647,-0.207139,0.169854,-1.082632
88,1s0,0.021294,True,1.213309,0.332792,-0.665584,0.639003,-0.030693,0.758933,0.184505,-0.076733,0.484328
88,1.25s0,0.014043,True,1.216917,0.340663,-0.681326,0.634344,-0.023017,0.763096,0.157734,-0.057542,0.479614
88,1.5s0,0.008758,True,1.165494,0.345532,-0.691064,0.650144,-0.013847,0.753802,0.179363,-0.034619,0.438508
91,1s0,0.015374,True,1.259393,0.770482,-1.540964,0.617908,0.018484,0.773290,-0.735192,0.046210,-0.346737
91,1.25s0,0.011531,True,1.279417,0.770293,-1.540586,0.613359,0.027075,0.774659,-0.742211,0.067689,-0.338961
91,1.5s0,0.008633,True,1.302779,0.770417,-1.540833,0.607070,0.032486,0.777069,-0.753333,0.081216,-0.328334
222,1s0,0.006379,True,1.014081,0.816097,-1.632194,0.710942,0.003065,0.703185,-0.622497,0.007662,-0.641890
222,1.25s0,0.003172,True,1.029066,0.815656,-1.631311,0.713850,0.007390,0.700001,-0.614001,0.018474,-0.648621
222,1.5s0,0.001722,True,1.043794,0.815412,-1.630823,0.714974,0.012684,0.698428,-0.610141,0.031709,-0.651505
223,1s0,0.026121,True,1.126251,0.326490,-0.652980,0.670009,-0.024330,0.737992,0.262041,-0.060825,0.431998
223,1.25s0,0.016370,True,1.113212,0.335666,-0.671333,0.672255,-0.019496,0.736898,0.247863,-0.048741,0.409471
223,1.5s0,0.010163,True,1.063912,0.341719,-0.683438,0.687109,-0.010562,0.725411,0.268685,-0.026405,0.364439
224,1s0,0.004955,True,1.308599,0.815694,-1.631388,0.607964,0.039441,0.775182,-0.840411,0.098603,-0.422366
224,1.25s0,0.002641,True,1.155233,0.815176,-1.630352,0.659263,0.026216,0.745824,-0.738553,0.065541,-0.522151
224,1.5s0,0.001634,True,1.068429,0.814906,-1.629812,0.687559,0.014159,0.724722,-0.676265,0.035397,-0.583359
226,1s0,0.024811,True,1.868648,0.828774,-1.657548,0.791713,-0.106287,0.473120,-0.259306,-0.265719,-1.055789
226,1.25s0,0.014657,True,1.820430,0.821251,-1.642502,0.793114,-0.101410,0.482417,-0.254131,-0.253524,-1.030874
226,1.5s0,0.008830,True,1.646097,0.816633,-1.633265,0.791066,-0.088454,0.523300,-0.298558,-0.221135,-0.967973
229,1s0,0.067110,False,1.631087,0.304237,-0.608474,0.565458,0.127485,0.752226,0.158066,0.318713,0.624986
229,1.25s0,0.049864,True,1.648425,0.315238,-0.630477,0.571380,0.136201,0.742470,0.155661,0.340504,0.583386
229,1.5s0,0.037204,True,1.648220,0.320092,-0.640185,0.572480,0.136833,0.741416,0.148646,0.342084,0.570985
102,1s0,0.020666,True,1.115074,0.333122,-0.666243,0.678582,-0.028241,0.730413,0.268969,-0.070602,0.398545
102,1.25s0,0.012716,True,1.111018,0.341779,-0.683557,0.677049,-0.024708,0.732288,0.247393,-0.061769,0.385492
102,1.5s0,0.007489,True,1.037319,0.346954,-0.693907,0.696971,-0.008416,0.716649,0.281496,-0.021039,0.330690
231,1s0,0.087353,False,1.072357,0.670591,-1.341181,0.696875,0.022888,0.715186,-0.364069,0.057220,-0.318294
231,1.25s0,0.049163,True,1.163030,0.666660,-1.333319,0.715182,-0.051280,0.689042,-0.300644,-0.128199,-0.365994
231,1.5s0,0.028792,True,1.520849,0.664764,-1.329529,0.680646,-0.138254,0.660993,-0.304962,-0.345634,-0.354095
232,1s0,0.025621,True,1.445544,0.703903,-1.407807,0.723328,0.115287,0.633975,-0.296116,0.288218,-0.519497
232,1.25s0,0.017158,True,1.674479,0.701586,-1.403172,0.720526,0.150946,0.587543,-0.236943,0.377364,-0.569401
232,1.5s0,0.012023,True,1.732642,0.698886,-1.397772,0.695551,0.166847,0.599556,-0.277779,0.417119,-0.517765
233,1s0,0.028900,True,1.485088,0.827068,-1.654137,0.789837,-0.063689,0.559334,-0.366008,-0.159224,-0.942266
233,1.25s0,0.016653,True,1.484889,0.820448,-1.640896,0.797617,-0.046873,0.551595,-0.333368,-0.117183,-0.948425
233,1.5s0,0.009839,True,1.506163,0.816145,-1.632289,0.802927,-0.037379,0.541823,-0.305910,-0.093449,-0.958669
234,1s0,0.014951,True,1.872723,0.801308,-1.602615,0.752444,0.149482,0.511488,-0.301420,0.373705,-0.903811
234,1.25s0,0.009085,True,1.842543,0.795664,-1.591327,0.755530,0.144938,0.515087,-0.290774,0.362344,-0.891881
234,1.5s0,0.005149,True,1.890693,0.792023,-1.584046,0.748969,0.153369,0.510997,-0.286580,0.383424,-0.881511
107,1s0,0.014631,True,1.388480,0.803202,-1.606404,0.773761,-0.066197,0.594817,-0.382725,-0.165492,-0.830084
107,1.25s0,0.008047,True,1.425864,0.800807,-1.601614,0.773360,-0.075351,0.587899,-0.369788,-0.188378,-0.833440
107,1.5s0,0.004720,True,1.475493,0.799298,-1.598596,0.768850,-0.090224,0.582315,-0.365427,-0.225560,-0.831765
106,1s0,0.013833,True,1.481335,0.297386,-0.594772,0.780718,0.077215,0.569234,0.669582,0.193039,0.140873
106,1.25s0,0.010631,True,1.564319,0.312737,-0.625474,0.812335,0.010998,0.519967,0.739986,0.027496,0.009066
106,1.5s0,0.007166,True,1.781963,0.323627,-0.647255,0.819351,-0.033671,0.464750,0.795997,-0.084176,-0.090506
109,1s0,0.018670,True,1.375376,0.786678,-1.573355,0.693073,-0.108072,0.678002,-0.554517,-0.270179,-0.592193
109,1.25s0,0.011324,True,1.649319,0.785632,-1.571265,0.672752,-0.160191,0.640900,-0.531450,-0.400478,-0.611080
109,1.5s0,0.006644,True,1.825929,0.784774,-1.569548,0.663986,-0.184277,0.610323,-0.502469,-0.460692,-0.636627
240,1s0,0.023487,True,1.313854,0.759617,-1.519234,0.655623,-0.086764,0.726617,-0.607975,-0.216910,-0.430492
240,1.25s0,0.016316,True,1.213672,0.756911,-1.513822,0.673491,-0.062480,0.724395,-0.577451,-0.156199,-0.450193
240,1.5s0,0.010779,True,1.183158,0.755470,-1.510940,0.677387,-0.053888,0.724466,-0.569788,-0.134720,-0.452091
124,1s0,0.018179,True,1.453454,0.495271,-0.990542,0.703386,-0.122651,0.652308,0.073305,-0.306627,-0.054390
124,1.25s0,0.017580,True,1.512014,0.492116,-0.984233,0.678838,-0.136738,0.664675,0.033470,-0.341846,-0.001935
124,1.5s0,0.015375,True,1.545990,0.489536,-0.979071,0.658563,-0.142961,0.677697,-0.002989,-0.357403,0.044846
242,1s0,0.006012,True,1.872781,0.806476,-1.612951,0.804000,0.085234,0.459920,-0.182852,0.213084,-1.043051
242,1.25s0,0.003466,True,1.306424,0.805260,-1.610520,0.778658,0.029917,0.604860,-0.393273,0.074793,-0.827768
242,1.5s0,0.002373,True,1.009376,0.804545,-1.609091,0.703885,-7.937496e-04,0.710290,-0.617097,-0.001984,-0.601085
116,1s0,0.014640,True,1.344335,0.813226,-1.626452,0.587566,0.007307,0.789265,-0.878576,0.018268,-0.374327
116,1.25s0,0.007669,True,1.359454,0.812537,-1.625075,0.582866,0.010261,0.791190,-0.885480,0.025652,-0.364670
116,1.5s0,0.004170,True,1.393828,0.812155,-1.624310,0.572314,0.015213,0.795234,-0.902960,0.038034,-0.345661
245,1s0,0.017733,True,1.373068,0.151153,-0.302306,0.578769,-0.013276,0.792742,0.430228,-0.033191,0.965160
245,1.25s0,0.014181,True,1.240241,0.158258,-0.316516,0.622300,2.099416e-04,0.771801,0.496608,5.248540e-04,0.870360
245,1.5s0,0.010855,True,1.132509,0.162996,-0.325993,0.660328,0.005505,0.747085,0.565560,0.013763,0.782454
118,1s0,0.012986,True,1.368154,0.184771,-0.369542,0.756556,-0.080206,0.615879,0.806303,-0.200516,0.454612
118,1.25s0,0.008643,True,1.476131,0.185732,-0.371464,0.758109,-0.100254,0.592923,0.835018,-0.250635,0.422054
118,1.5s0,0.005475,True,1.568921,0.186231,-0.372462,0.760840,-0.112566,0.570464,0.865509,-0.281415,0.389568
121,1s0,0.017525,True,1.259727,0.598412,-1.196825,0.720805,-0.075861,0.670341,-0.133744,-0.189653,-0.259905
121,1.25s0,0.010584,True,1.449191,0.588045,-1.176091,0.693789,-0.123429,0.662774,-0.137323,-0.308573,-0.214859
121,1.5s0,0.006437,True,1.777567,0.581128,-1.162257,0.646996,-0.179821,0.638085,-0.151117,-0.449552,-0.173396
127,1s0,0.026394,True,1.375052,0.774762,-1.549524,0.768885,0.069127,0.602251,-0.341231,0.172817,-0.757817
127,1.25s0,0.022417,True,1.235682,0.773901,-1.547802,0.750960,0.050344,0.643811,-0.413866,0.125861,-0.681738
127,1.5s0,0.017453,True,1.134995,0.773206,-1.546411,0.735314,0.031184,0.671858,-0.467091,0.077961,-0.625732
255,1s0,0.014477,True,1.381129,0.815491,-1.630981,0.780790,0.053328,0.589193,-0.391485,0.133320,-0.870477
255,1.25s0,0.009076,True,1.186770,0.807151,-1.614302,0.751671,0.031367,0.649735,-0.486883,0.078417,-0.741721
255,1.5s0,0.005950,True,1.030321,0.802335,-1.604671,0.715498,0.006140,0.698322,-0.583201,0.015350,-0.626140
